Epoch - Batch,Loss student 0,Loss student 1,Ensemble loss,Multiloss value
Epoch 3 - Batch 23,84.0602,96.264114,94.00778,316.87976
Epoch 3 - Batch 24,105.60951,122.99219,116.229996,382.93036
Epoch 3 - Batch 25,92.1259,103.9722,98.557816,329.82434
Epoch 3 - Batch 26,88.419,106.589966,97.96362,326.40802
Epoch 3 - Batch 27,91.20581,106.83809,93.60703,333.90024
Epoch 3 - Batch 28,79.1793,100.09622,84.524605,298.07748
Epoch 4 - Batch 0,88.017715,93.39481,89.43381,299.09113
Epoch 4 - Batch 1,76.765915,87.23771,79.55741,274.5976
Epoch 4 - Batch 2,93.32678,94.71383,94.683044,314.56827
Epoch 4 - Batch 3,96.53826,101.688705,103.153564,335.25626
Epoch 4 - Batch 4,84.190704,95.32164,93.953064,302.63403
Epoch 4 - Batch 5,83.66154,93.64201,88.374176,289.14127
Epoch 4 - Batch 6,91.29477,101.70168,96.03302,313.2823
Epoch 4 - Batch 7,74.37901,86.21115,78.48086,262.5013
Epoch 4 - Batch 8,75.50816,83.01758,78.43569,260.53424
Epoch 4 - Batch 9,82.43615,88.69221,82.94973,276.1414
Epoch 4 - Batch 10,87.22833,94.57922,89.71041,292.12402
Epoch 4 - Batch 11,86.75334,97.91388,95.20742,303.89624
Epoch 4 - Batch 12,76.40112,81.64178,74.98039,258.6749
Epoch 4 - Batch 13,81.83299,90.50638,84.67716,278.32724
Epoch 4 - Batch 14,79.10222,84.95044,80.64484,266.60977
Epoch 4 - Batch 15,71.30328,75.47313,74.302704,248.76483
Epoch 4 - Batch 16,73.06521,75.00853,73.12016,240.21638
Epoch 4 - Batch 17,86.17719,94.118645,95.47908,295.88797
Epoch 4 - Batch 18,70.71657,77.42967,74.29198,243.36964
Epoch 4 - Batch 19,84.55813,88.30194,86.930954,278.18713
Epoch 4 - Batch 20,89.65149,92.45935,92.19644,295.3172
Epoch 4 - Batch 21,99.48838,108.95146,110.02073,344.23788
Epoch 4 - Batch 22,75.70787,79.06331,75.5597,246.05655
Epoch 4 - Batch 23,88.42058,92.07745,87.95773,289.01636
Epoch 4 - Batch 24,82.81193,86.88877,79.04903,273.03143
Epoch 4 - Batch 25,94.34372,98.08505,92.47339,301.8975
Epoch 4 - Batch 26,86.38328,90.78505,85.81474,284.74707
Epoch 4 - Batch 27,86.035965,92.577805,85.926636,286.31256
Epoch 4 - Batch 28,89.50551,89.64183,88.74835,283.82565
Epoch 5 - Batch 0,74.29784,77.30266,74.36795,242.31183
Epoch 5 - Batch 1,78.20517,84.556885,80.36067,257.81467
Epoch 5 - Batch 2,76.65248,83.44858,79.829056,254.2197
Epoch 5 - Batch 3,84.279915,89.43396,86.27896,273.79825
Epoch 5 - Batch 4,90.69307,92.04483,91.44259,287.80923
Epoch 5 - Batch 5,83.35183,87.90249,85.0925,269.19025
Epoch 5 - Batch 6,81.35971,85.918594,80.87578,261.88226
Epoch 5 - Batch 7,89.38538,94.41357,91.14487,291.3861
Epoch 5 - Batch 8,75.82567,84.26914,80.42654,253.44751
Epoch 5 - Batch 9,77.82431,76.669495,74.93906,248.36588
Epoch 5 - Batch 10,81.07434,84.23564,81.093094,258.9478
Epoch 5 - Batch 11,90.34601,89.15536,88.34216,279.69504
Epoch 5 - Batch 12,84.40401,89.27373,86.41874,279.5593
Epoch 5 - Batch 13,74.43259,78.86825,73.579636,253.94257
Epoch 5 - Batch 14,81.743996,85.289764,82.16493,266.1515
Epoch 5 - Batch 15,78.01528,82.23208,78.95039,253.2846
Epoch 5 - Batch 16,70.59914,71.56581,70.01651,227.54987
Epoch 5 - Batch 17,70.2319,71.946686,70.563736,226.2974
Epoch 5 - Batch 18,82.264305,84.824615,83.906944,265.16315
Epoch 5 - Batch 19,70.65117,76.280014,68.29106,240.91228
Epoch 5 - Batch 20,81.80896,82.472015,80.80669,259.4751
Epoch 5 - Batch 21,87.603096,89.97039,88.98717,282.4467
Epoch 5 - Batch 22,95.960625,104.401886,102.185196,319.37848
Epoch 5 - Batch 23,75.469864,75.69868,73.586815,247.86292
Epoch 5 - Batch 24,85.37433,86.568115,84.26123,280.2126
Epoch 5 - Batch 25,82.85834,82.00521,79.76906,265.9472
Epoch 5 - Batch 26,94.27899,92.326965,90.45537,299.1891
Epoch 5 - Batch 27,85.231674,87.826065,85.25375,274.65958
Epoch 5 - Batch 28,84.421036,86.89331,84.38117,269.73566
Epoch 6 - Batch 0,83.22346,83.93993,82.700806,263.79114
Epoch 6 - Batch 1,73.32459,80.30384,74.45686,251.83418
Epoch 6 - Batch 2,80.6689,80.46109,77.9079,256.39908
Epoch 6 - Batch 3,75.32922,77.54146,75.04871,240.04626
Epoch 6 - Batch 4,80.09277,88.19537,86.014465,268.7757
Epoch 6 - Batch 5,88.87833,93.557014,90.483826,285.31213
Epoch 6 - Batch 6,82.30197,84.40538,83.59654,266.51227
Epoch 6 - Batch 7,78.05351,79.694244,77.821396,248.43669
Epoch 6 - Batch 8,88.06743,88.79399,86.96738,275.22122
Epoch 6 - Batch 9,71.98053,72.02119,70.46544,231.13788
Epoch 6 - Batch 10,73.52182,74.5203,72.29782,236.78291
Epoch 6 - Batch 11,79.75063,83.03157,79.4892,265.40088
Epoch 6 - Batch 12,83.74892,86.69272,84.209305,268.91156
Epoch 6 - Batch 13,83.262115,84.86763,83.92377,268.54346
Epoch 6 - Batch 14,71.64962,75.00484,72.90199,231.22835
Epoch 6 - Batch 15,80.26784,81.50981,79.83873,251.28789
Epoch 6 - Batch 16,76.80313,76.82575,76.29048,245.27605
Epoch 6 - Batch 17,68.391785,71.01488,69.1257,222.75087
Epoch 6 - Batch 18,70.41626,71.7238,70.05383,220.97748
Epoch 6 - Batch 19,79.55113,82.422134,80.0435,257.40463
Epoch 6 - Batch 20,68.09563,70.84729,67.7461,219.97775
Epoch 6 - Batch 21,76.83424,80.9138,78.52802,248.76822
Epoch 6 - Batch 22,86.281654,87.44678,85.53104,269.2817
Epoch 6 - Batch 23,95.112885,96.348274,95.67481,305.75977
Epoch 6 - Batch 24,75.35929,77.00549,74.420654,240.89682
Epoch 6 - Batch 25,81.878174,86.55556,84.02067,266.4076
Epoch 6 - Batch 26,77.66957,78.32158,76.71225,245.9602
Epoch 6 - Batch 27,86.80989,89.734924,86.41164,271.776
Epoch 6 - Batch 28,84.13355,86.49689,84.13477,270.6925
Epoch 7 - Batch 0,81.74646,82.01175,80.15193,255.14034
Epoch 7 - Batch 1,82.782364,81.254456,81.89989,259.99298
Epoch 7 - Batch 2,74.46453,73.6849,72.642265,237.62695
Epoch 7 - Batch 3,75.523636,76.84328,75.11957,235.76028
Epoch 7 - Batch 4,71.762566,75.24407,72.79335,232.3698
Epoch 7 - Batch 5,79.51164,84.69677,81.889084,260.42804
Epoch 7 - Batch 6,87.40112,88.971344,89.10921,280.89233
Epoch 7 - Batch 7,80.637985,83.39165,82.33956,260.88416
Epoch 7 - Batch 8,79.513535,79.682785,77.79061,250.51144
Epoch 7 - Batch 9,85.002014,84.97595,83.58156,271.52158
Epoch 7 - Batch 10,72.59541,71.96576,69.72065,229.98923
Epoch 7 - Batch 11,73.42666,73.91708,71.97876,238.36197
Epoch 7 - Batch 12,79.998604,79.2113,79.464264,258.07327
Epoch 7 - Batch 13,82.85518,85.56077,84.11298,263.55515
Epoch 7 - Batch 14,83.571655,83.02312,83.26893,264.42398
Epoch 7 - Batch 15,71.39543,74.8,71.77664,229.43156
Epoch 7 - Batch 16,78.11069,80.39676,78.6117,252.96317
Epoch 7 - Batch 17,76.87009,75.82314,75.72539,238.34483
Epoch 7 - Batch 18,67.95031,69.47662,67.152176,216.45366
Epoch 7 - Batch 19,69.767166,70.76515,69.75661,220.9311
Epoch 7 - Batch 20,81.67578,79.642914,79.952545,254.0492
Epoch 7 - Batch 21,67.21564,69.8214,67.75114,215.28067
Epoch 7 - Batch 22,76.69272,77.581406,75.909,240.69492
Epoch 7 - Batch 23,85.66901,86.37016,85.25278,265.92303
Epoch 7 - Batch 24,92.93698,96.50526,94.98908,296.6222
Epoch 7 - Batch 25,74.05397,75.17374,73.23923,231.95702
Epoch 7 - Batch 26,82.815025,83.87523,82.35278,262.5144
Epoch 7 - Batch 27,78.84,79.58902,78.153,245.49449
Epoch 7 - Batch 28,86.5763,89.527084,87.11044,274.80096
Epoch 8 - Batch 0,84.46242,87.36676,84.303604,266.17285
Epoch 8 - Batch 1,81.40042,83.595146,80.96127,258.54962
Epoch 8 - Batch 2,82.77373,83.60104,82.38365,260.1832
Epoch 8 - Batch 3,72.61411,72.54011,71.89383,225.10855
Epoch 8 - Batch 4,76.372055,78.14924,76.22645,238.11603
Epoch 8 - Batch 5,71.73457,72.74247,71.785614,225.94635
Epoch 8 - Batch 6,78.91318,79.23425,78.573395,242.26721
Epoch 8 - Batch 7,84.38559,85.534615,85.04617,263.61584
Epoch 8 - Batch 8,79.71628,81.17142,79.88873,248.60065
Epoch 8 - Batch 9,77.15309,77.85054,75.431274,239.67914
Epoch 8 - Batch 10,83.83368,85.49621,83.74566,265.51315
Epoch 8 - Batch 11,68.59582,71.5252,69.74793,224.12405
Epoch 8 - Batch 12,72.74773,73.074814,72.36139,237.07912
Epoch 8 - Batch 13,75.99135,79.53735,78.54192,249.0209
Epoch 8 - Batch 14,82.14142,84.76933,82.94444,267.45163
Epoch 8 - Batch 15,80.432724,85.597435,83.94745,274.04227
Epoch 8 - Batch 16,72.66371,73.00441,71.99431,236.47662
Epoch 8 - Batch 17,78.415695,78.62968,77.71307,248.30125
Epoch 8 - Batch 18,79.320656,76.43655,77.59868,252.80046
Epoch 8 - Batch 19,67.670586,68.83476,67.52839,220.67105
Epoch 8 - Batch 20,69.75958,71.2318,69.71859,223.52786
Epoch 8 - Batch 21,79.02887,79.06059,77.47282,248.17285
Epoch 8 - Batch 22,64.88829,68.24344,65.559364,214.93185
Epoch 8 - Batch 23,77.03812,77.2038,76.1388,241.68991
Epoch 8 - Batch 24,83.78697,84.84748,84.47975,268.51074
Epoch 8 - Batch 25,90.069275,94.71789,93.53024,295.4218
Epoch 8 - Batch 26,73.09482,75.18042,72.40063,233.25436
Epoch 8 - Batch 27,81.41595,83.52984,81.969894,259.01
Epoch 8 - Batch 28,77.42534,76.76741,76.210175,242.65793
Epoch 9 - Batch 0,84.940414,85.31174,83.97264,261.32996
Epoch 9 - Batch 1,81.10347,85.28252,82.68532,259.46127
Epoch 9 - Batch 2,81.63249,80.54379,79.30345,252.96178
Epoch 9 - Batch 3,81.68657,79.68434,79.92556,253.32578
Epoch 9 - Batch 4,72.86737,72.06801,71.22971,227.79935
Epoch 9 - Batch 5,76.69212,76.433655,75.396484,239.29634
Epoch 9 - Batch 6,71.44859,72.87458,71.56586,222.94667
Epoch 9 - Batch 7,80.11672,81.49867,80.68614,252.41579
Epoch 9 - Batch 8,84.91412,85.30835,84.6906,266.31427
Epoch 9 - Batch 9,78.68715,80.167816,79.006676,245.80463
Epoch 9 - Batch 10,76.31036,80.099075,78.5922,244.95374
Epoch 9 - Batch 11,84.22214,84.66675,83.84502,264.79828
Epoch 9 - Batch 12,72.857544,73.70129,71.570206,229.43413
Epoch 9 - Batch 13,72.78055,72.06715,71.17366,228.01505
Epoch 9 - Batch 14,75.723495,78.33403,76.821304,241.6034
Epoch 9 - Batch 15,82.242744,84.56529,82.96971,260.2904
Epoch 9 - Batch 16,80.80261,80.50137,79.98713,250.54544
Epoch 9 - Batch 17,70.42164,71.4436,70.493515,221.9877
Epoch 9 - Batch 18,78.96494,78.09513,77.773575,246.5174
Epoch 9 - Batch 19,74.440796,76.99707,75.14557,236.0173
Epoch 9 - Batch 20,67.09713,68.781456,67.57605,210.51782
Epoch 9 - Batch 21,70.83861,70.247765,69.78947,223.01285
Epoch 9 - Batch 22,79.04767,79.54482,78.88199,245.0286
Epoch 9 - Batch 23,66.94518,66.1154,65.25275,206.27666
Epoch 9 - Batch 24,74.57516,75.70251,74.76414,233.80002
Epoch 9 - Batch 25,83.32195,84.61475,82.97672,263.22293
Epoch 9 - Batch 26,88.596504,91.43913,90.26045,278.22287
Epoch 9 - Batch 27,74.33498,73.60184,73.02593,228.61288
Epoch 9 - Batch 28,81.396286,82.41817,81.44847,255.98973
Epoch 10 - Batch 0,78.44028,76.89273,76.1068,243.64314
Epoch 10 - Batch 1,84.62218,84.17598,83.206345,261.3957
Epoch 10 - Batch 2,80.86302,84.30562,81.11211,256.8673
Epoch 10 - Batch 3,80.30469,79.87625,78.63136,247.79747
Epoch 10 - Batch 4,78.45707,77.51059,77.07974,245.87833
Epoch 10 - Batch 5,71.302376,72.367226,70.88219,223.74583
Epoch 10 - Batch 6,75.10406,77.0082,75.076126,234.83162
Epoch 10 - Batch 7,70.603165,71.87233,70.79428,224.60597
Epoch 10 - Batch 8,77.50937,77.00885,77.48716,239.13861
Epoch 10 - Batch 9,83.36316,85.31857,84.9758,262.93747
Epoch 10 - Batch 10,79.16486,80.48341,79.62265,249.75116
Epoch 10 - Batch 11,77.09479,78.247116,76.48518,242.4647
Epoch 10 - Batch 12,82.101364,84.64067,82.79755,258.17743
Epoch 10 - Batch 13,67.586334,68.348885,67.648544,212.9164
Epoch 10 - Batch 14,70.74977,71.650665,69.44394,221.72864
Epoch 10 - Batch 15,74.72885,77.78229,76.339615,237.77757
Epoch 10 - Batch 16,80.86975,84.90992,81.01172,260.05737
Epoch 10 - Batch 17,79.76173,82.031265,80.40857,254.37651
Epoch 10 - Batch 18,70.02942,72.46243,70.951996,226.79877
Epoch 10 - Batch 19,75.08206,77.867165,76.36607,239.61928
Epoch 10 - Batch 20,72.976585,74.9351,73.24736,230.346
Epoch 10 - Batch 21,66.749275,68.88042,66.20692,213.64261
Epoch 10 - Batch 22,68.95267,70.348236,68.76105,216.07098
Epoch 10 - Batch 23,79.171936,84.18308,81.66857,255.10822
Epoch 10 - Batch 24,62.905857,67.31928,62.95327,207.40027
Epoch 10 - Batch 25,73.79175,77.870415,76.059616,239.35625
Epoch 10 - Batch 26,83.51947,82.69353,82.37599,259.78308
Epoch 10 - Batch 27,89.0574,90.700386,90.15102,281.8145
Epoch 10 - Batch 28,71.37415,75.46272,71.902824,228.72339
Epoch 11 - Batch 0,81.2746,81.7544,80.72996,252.31796
Epoch 11 - Batch 1,74.35048,76.87606,74.1308,234.36612
Epoch 11 - Batch 2,84.14232,84.440765,83.46034,262.20856
Epoch 11 - Batch 3,79.20018,82.668655,79.96334,256.63818
Epoch 11 - Batch 4,80.58311,82.09267,81.05833,257.34113
Epoch 11 - Batch 5,78.48928,80.882675,79.54365,253.43683
Epoch 11 - Batch 6,70.708145,71.08444,70.19496,228.2152
Epoch 11 - Batch 7,74.16487,74.30521,74.09,238.91617
Epoch 11 - Batch 8,71.594154,72.47426,71.16015,223.4786
Epoch 11 - Batch 9,77.24691,78.99022,76.70106,242.3706
Epoch 11 - Batch 10,81.59087,85.106415,83.07722,261.38516
Epoch 11 - Batch 11,78.05221,78.773926,77.90502,243.93677
Epoch 11 - Batch 12,74.60635,78.67765,75.91931,240.74142
Epoch 11 - Batch 13,81.45129,84.01692,82.24362,262.04102
Epoch 11 - Batch 14,67.85934,69.59427,66.90898,219.542
Epoch 11 - Batch 15,71.68002,70.32806,69.732895,230.00987
Epoch 11 - Batch 16,74.78463,78.53422,76.59767,242.2415
Epoch 11 - Batch 17,80.40217,84.80924,83.50659,263.0694
Epoch 11 - Batch 18,79.12155,80.67818,79.87147,251.42944
Epoch 11 - Batch 19,69.83855,70.83807,70.15996,218.28438
Epoch 11 - Batch 20,76.49081,77.79034,76.16341,239.51912
Epoch 11 - Batch 21,72.73164,73.24619,72.465515,224.37196
Epoch 11 - Batch 22,66.32797,68.47788,65.96182,209.72809
Epoch 11 - Batch 23,68.407906,70.35437,69.32706,217.54599
Epoch 11 - Batch 24,78.5504,78.13456,77.616104,242.4326
Epoch 11 - Batch 25,64.7498,63.92299,63.22958,202.49075
Epoch 11 - Batch 26,74.18562,74.87392,74.22577,230.82108
Epoch 11 - Batch 27,80.99139,82.518814,81.579956,256.07773
Epoch 11 - Batch 28,89.11049,89.52591,88.64781,279.6478
Epoch 12 - Batch 0,71.63228,71.93138,70.75831,223.22452
Epoch 12 - Batch 1,80.86298,81.226135,80.46123,251.95464
Epoch 12 - Batch 2,74.43548,75.323135,74.04915,233.22636
Epoch 12 - Batch 3,85.45221,85.24834,84.0742,267.46497
Epoch 12 - Batch 4,80.21147,81.90113,80.18429,251.86093
Epoch 12 - Batch 5,79.94725,79.47673,79.06856,246.73561
Epoch 12 - Batch 6,77.951645,79.57335,77.444496,245.34045
Epoch 12 - Batch 7,69.89195,70.42871,69.83205,218.48395
Epoch 12 - Batch 8,75.184135,75.39633,74.87425,232.64409
Epoch 12 - Batch 9,70.374985,72.79942,71.41589,221.62509
Epoch 12 - Batch 10,75.07498,79.98677,75.91648,239.11667
Epoch 12 - Batch 11,81.69458,83.97017,83.07106,254.97163
Epoch 12 - Batch 12,77.28506,77.53162,77.09053,239.02245
Epoch 12 - Batch 13,74.18161,77.79176,74.35843,236.99252
Epoch 12 - Batch 14,82.76278,82.49482,81.51927,254.55598
Epoch 12 - Batch 15,65.30981,68.63815,66.136604,209.1684
Epoch 12 - Batch 16,70.46983,71.37543,69.60235,219.09567
Epoch 12 - Batch 17,75.54205,75.64185,75.093445,236.19827
Epoch 12 - Batch 18,79.20868,82.53558,80.270004,250.959
Epoch 12 - Batch 19,78.55905,79.57343,78.917816,250.25255
Epoch 12 - Batch 20,70.20162,72.042786,71.09989,222.01285
Epoch 12 - Batch 21,76.85814,77.05438,76.458855,242.41406
Epoch 12 - Batch 22,71.531105,72.81351,72.37974,224.28754
Epoch 12 - Batch 23,65.99579,67.04298,65.80462,208.16531
Epoch 12 - Batch 24,69.32651,68.26862,68.39914,213.52264
Epoch 12 - Batch 25,76.22025,74.794685,74.27591,233.48615
Epoch 12 - Batch 26,63.888153,64.36702,63.284622,199.36813
Epoch 12 - Batch 27,73.497505,72.97767,72.70026,228.39188
Epoch 12 - Batch 28,80.0945,81.92731,80.06148,249.32494
Epoch 13 - Batch 0,87.413376,88.44969,87.86928,271.24374
Epoch 13 - Batch 1,72.49428,73.37348,71.97534,227.66663
Epoch 13 - Batch 2,78.48519,80.91222,79.02898,248.04402
Epoch 13 - Batch 3,73.026146,74.06976,72.99205,224.63564
Epoch 13 - Batch 4,81.945404,83.35978,81.68869,253.76456
Epoch 13 - Batch 5,79.442,81.034256,80.081635,248.56091
Epoch 13 - Batch 6,79.816864,80.39802,79.27579,247.71114
Epoch 13 - Batch 7,76.7666,78.36409,77.26779,240.17705
Epoch 13 - Batch 8,69.74338,69.97134,69.32253,216.08737
Epoch 13 - Batch 9,72.87982,74.64395,73.39795,227.44217
Epoch 13 - Batch 10,70.248886,70.81151,70.22833,219.8078
Epoch 13 - Batch 11,75.44043,78.07657,76.45352,239.16576
Epoch 13 - Batch 12,80.63101,82.263794,82.22583,255.48802
Epoch 13 - Batch 13,75.617546,77.67399,76.71242,235.77238
Epoch 13 - Batch 14,73.56086,74.60678,72.7681,228.89537
Epoch 13 - Batch 15,81.41698,82.84412,80.77346,255.00723
Epoch 13 - Batch 16,64.1556,64.05408,63.74095,199.99347
Epoch 13 - Batch 17,71.13933,69.41646,68.55502,223.5014
Epoch 13 - Batch 18,76.89661,75.75693,76.12952,245.98764
Epoch 13 - Batch 19,79.91557,84.580215,84.05266,263.48834
Epoch 13 - Batch 20,77.341286,78.26638,77.852356,243.32323
Epoch 13 - Batch 21,69.47616,70.45461,69.93578,220.18893
Epoch 13 - Batch 22,75.989555,76.10499,75.31107,233.31262
Epoch 13 - Batch 23,71.90222,73.65578,72.16809,227.02594
Epoch 13 - Batch 24,65.99814,67.32388,65.480934,207.51828
Epoch 13 - Batch 25,68.36015,67.86618,67.58388,212.90598
Epoch 13 - Batch 26,77.082184,78.868416,78.027084,242.66661
Epoch 13 - Batch 27,64.66343,64.46543,63.779964,204.26465
Epoch 13 - Batch 28,73.9929,76.84475,75.02127,240.04071
Epoch 14 - Batch 0,79.10683,83.226074,81.55007,252.93372
Epoch 14 - Batch 1,88.21495,89.71739,88.17518,277.73337
Epoch 14 - Batch 2,72.795204,71.43594,71.25573,224.20767
